Entity,Code,Year,6.3.2 - Proportion of bodies of water with good ambient water quality (%) - EN_H2O_WBAMBQ,6.3.2 - Proportion of river water bodies with good ambient water quality (%) - EN_H2O_RVAMBQ,6.3.2 - Proportion of groundwater bodies with good ambient water quality (%) - EN_H2O_GRAMBQ,6.3.2 - Proportion of open water bodies with good ambient water quality (%) - EN_H2O_OPAMBQ
Africa (UN),,2017,68.35,75.6,,
Africa (UN),,2020,72.7,75.69,,
Andorra,AND,2017,92.86,100,75,
Andorra,AND,2020,86,86,,
Antigua and Barbuda,ATG,2020,0,,,0
Argentina,ARG,2020,17.95,0,21.88,
Australia,AUS,2020,87.65,,87,92
Austria,AUT,2017,80.44,80.12,94.57,91.94
Austria,AUT,2020,81.77,81.42,96.24,95.56
Belarus,BLR,2020,88.88,91.26,62.81,93.08
Belize,BLZ,2020,78.95,60,100,
Benin,BEN,2020,89.42,100,88.89,100
Bosnia and Herzegovina,BIH,2017,5.79,4.89,16.67,100
Bosnia and Herzegovina,BIH,2020,30.58,28.35,94.74,100
Botswana,BWA,2017,50,94.74,7.69,94.44
Botswana,BWA,2020,78,90,75,
Brazil,BRA,2017,63.25,71.75,64.86,33.62
Brazil,BRA,2020,71.02,75.87,67.86,46.96
Bulgaria,BGR,2017,69.85,99.12,28.05,100
Bulgaria,BGR,2020,65.56,98.96,25.61,100
Burkina Faso,BFA,2020,97.7,100,95.29,100
Burundi,BDI,2020,100,100,100,100
Canada,CAN,2020,82.19,82.19,,
Chile,CHL,2017,85.64,85.64,,
Chile,CHL,2020,84.02,84.02,,
Costa Rica,CRI,2020,68.48,68.48,,
Cote d'Ivoire,CIV,2020,80,66.67,,100
Croatia,HRV,2020,55.85,55,91,71.43
Cyprus,CYP,2017,61.67,94.29,12.5,100
Cyprus,CYP,2020,61.4,94.12,9.09,100
Czechia,CZE,2017,67.01,100,40.99,0
Czechia,CZE,2020,88.19,97.45,37.89,100
Democratic Republic of Congo,COD,2020,66,66,,
Denmark,DNK,2020,53.42,54,75,38
Dominican Republic,DOM,2020,70.59,50,,88.89
El Salvador,SLV,2017,43.33,43.33,,
El Salvador,SLV,2020,59.68,59.68,,
Estonia,EST,2017,100,100,,100
Estonia,EST,2020,75.65,86.2,100,44.2
Eswatini,SWZ,2020,87.5,87.5,,
Ethiopia,ETH,2020,96.77,96.43,,100
Europe (UN),,2017,90.68,94.6,,82.08
Europe (UN),,2020,91.84,96.03,,83.42
Europe and Northern America (UN),,2017,75.23,77.07,,70.56
Europe and Northern America (UN),,2020,75.85,77.83,,71.49
Fiji,FJI,2017,100,100,100,100
Fiji,FJI,2020,100,100,100,
Finland,FIN,2017,95.98,100,85.61,100
Finland,FIN,2020,96.84,100,86.87,100
France,FRA,2017,83.53,97.79,41.08,99.28
France,FRA,2020,78.93,92.53,39.43,100
Gabon,GAB,2020,93.55,91.3,100,100
Georgia,GEO,2020,92,,92,
Germany,DEU,2017,38.99,35.08,,72.41
Greece,GRC,2017,49.25,94.6,0,100
Greece,GRC,2020,40.62,96.53,0,100
Guinea,GIN,2017,80.89,,80.89,
Guyana,GUY,2020,67.76,67.76,,
Hungary,HUN,2017,57.66,53.6,81.98,41.77
Hungary,HUN,2020,59.33,60.72,78.38,34.04
Iceland,ISL,2017,100,100,100,100
Iceland,ISL,2020,100,100,100,100
Ireland,IRL,2017,61.69,56.72,91.42,45.78
Ireland,IRL,2020,59.44,53.18,92.22,50.45
Jamaica,JAM,2017,92.08,92.08,,
Jamaica,JAM,2020,57.21,94.31,33.4,
Japan,JPN,2017,37.5,30,0,75
Japan,JPN,2020,37.5,30,0,75
Jordan,JOR,2017,92,66.67,100,90
Jordan,JOR,2020,100,,,100
Kazakhstan,KAZ,2020,63.94,72.53,,38.71
Kenya,KEN,2017,35.5,30.52,42.18,0
Kenya,KEN,2020,86.52,90.38,90.32,33.33
Kingdom of the Netherlands,,2017,95.88,100,62.5,99.01
Kingdom of the Netherlands,,2020,95.86,100,62.5,99.01
Laos,LAO,2020,80,80,,80
Latin America and the Caribbean (UN),,2017,53.92,55.06,52.47,38.72
Latin America and the Caribbean (UN),,2020,56.98,56.26,54.65,47.81
Latvia,LVA,2017,65.43,67.84,100,59.27
Latvia,LVA,2020,66.54,61.55,100,68.12
Least Developed Countries (LDCs),,2020,76.74,80.25,,
Lebanon,LBN,2017,50,50,100,0
Lesotho,LSO,2017,16.67,33.33,0,0
Lesotho,LSO,2020,100,100,,100
Liberia,LBR,2020,50,33.33,,100
Liechtenstein,LIE,2017,80,77.78,100,
Liechtenstein,LIE,2020,80,77.78,100,
Lithuania,LTU,2017,99.55,99.26,,100
Lithuania,LTU,2020,98.65,97.71,,100
Madagascar,MDG,2017,90.91,94.12,81.58,94.59
Madagascar,MDG,2020,90.67,94.12,81.58,94.59
Mali,MLI,2020,70,77.78,,0
Marshall Islands,MHL,2017,100,,100,100
Mexico,MEX,2020,54.91,53.09,,58.27
Montenegro,MNE,2017,94.12,100,0,100
Montenegro,MNE,2020,88.1,86.67,100,90.91
Morocco,MAR,2017,79.15,76.14,76.27,85.94
Namibia,NAM,2017,78.57,85.71,100,60
New Zealand,NZL,2017,97.7,99.58,,87.64
New Zealand,NZL,2020,72.21,80.07,0,40.35
Niger,NER,2020,60,60,,
Nigeria,NGA,2017,52.46,66.27,,41
Nigeria,NGA,2020,12.46,15.05,,7.77
North Macedonia,MKD,2017,8.7,12.5,0,0
North Macedonia,MKD,2020,70.01,70.01,,
Northern America (UN),,2020,57.69,57.16,,
Norway,NOR,2017,100,100,100,100
Norway,NOR,2020,100,100,0,100
Oceania (UN),,2020,87.17,,84.16,90.32
Panama,PAN,2020,64.36,63.64,,100
Paraguay,PRY,2020,71.61,75.21,0,66.67
Peru,PER,2017,36.84,36.84,,
Peru,PER,2020,25.41,25.62,,23.58
Poland,POL,2017,33.71,30.64,85.71,38.51
Poland,POL,2020,96.14,98.4,58.82,98.77
Romania,ROU,2017,61.37,57.37,83.69,62.61
Romania,ROU,2020,83.67,93.16,44.44,66.67
Russia,RUS,2017,96,100,,83.33
Russia,RUS,2020,96,100,,83.33
Rwanda,RWA,2017,30,37.5,,0
Rwanda,RWA,2020,78.79,75,100,66.67
Samoa,WSM,2020,100,100,,100
Senegal,SEN,2017,44.44,0,66.67,
Senegal,SEN,2020,44.44,66.67,33.33,
Serbia,SRB,2020,83.07,77.14,88.46,100
Sierra Leone,SLE,2020,41.7,41.7,,
Singapore,SGP,2017,100,,,100
Singapore,SGP,2020,100,,,100
Slovakia,SVK,2017,71.86,98.39,49.32,0
Slovakia,SVK,2020,57.15,100,47.3,0
Slovenia,SVN,2017,75.81,80.43,90.48,9.09
Slovenia,SVN,2020,83.89,89.51,78.57,27.27
South Africa,ZAF,2017,46.92,37.05,,62.5
South Africa,ZAF,2020,52.11,52.32,74.19,43.5
South Korea,KOR,2017,87.29,82.61,96.01,0
South Korea,KOR,2020,93.3,82.61,96.01,87.76
South Sudan,SSD,2017,100,100,100,100
Sub-Saharan Africa (UN),,2017,65.69,72.47,,
Sub-Saharan Africa (UN),,2020,70.75,72.58,,
Sudan,SDN,2017,86.05,100,90,70
Sweden,SWE,2017,45.13,31.77,97.7,48.85
Sweden,SWE,2020,48.37,34.58,97.62,52.96
Switzerland,CHE,2017,100,100,,
Switzerland,CHE,2020,61.11,100,,36.36
Tanzania,TZA,2017,0,,,0
Tanzania,TZA,2020,85.33,87,,80
Thailand,THA,2020,36,36,,
Togo,TGO,2020,100,100,100,100
Trinidad and Tobago,TTO,2020,87.5,,87.5,
Tunisia,TUN,2020,84.94,83,86,
Uganda,UGA,2017,100,100,,100
Uganda,UGA,2020,0,0,,0
United Arab Emirates,ARE,2017,40,,50,0
United Kingdom,GBR,2017,87.1,95.95,56.2,99.37
United Kingdom,GBR,2020,89.9,95.99,57.76,100
United States,USA,2020,33.67,32.63,,44.66
Uruguay,URY,2020,75.85,76.88,,73.04
World,OWID_WRL,2017,70.22,71.54,,
World,OWID_WRL,2020,71.92,72.13,,
Zambia,ZMB,2017,75,75,66.67,100
Zimbabwe,ZWE,2017,76.47,76.47,,
Zimbabwe,ZWE,2020,83.33,83.33,,